# time  ID  size  fromHost  toHost  TTL  isResponse
12250.0000 M420 5000000 p15 p5 300 N 
12283.0000 M421 5000000 p3 p8 300 N 
12310.0000 M422 5000000 p8 p1 300 N 
12337.0000 M423 5000000 p0 p13 300 N 
12364.0000 M424 5000000 p11 p5 300 N 
12398.0000 M425 5000000 p1 p0 300 N 
12432.0000 M426 5000000 p16 p12 300 N 
12466.0000 M427 5000000 p9 p16 300 N 
12491.0000 M428 5000000 p0 p17 300 N 
12519.0000 M429 5000000 p10 p18 300 N 
12550.0000 M430 5000000 p8 p17 300 N 
12580.0000 M431 5000000 p16 p4 300 N 
12610.0000 M432 5000000 p17 p15 300 N 
12640.0000 M433 5000000 p7 p4 300 N 
12668.0000 M434 5000000 p10 p14 300 N 
12700.0000 M435 5000000 p8 p9 300 N 
12728.0000 M436 5000000 p8 p11 300 N 
12760.0000 M437 5000000 p14 p6 300 N 
12786.0000 M438 5000000 p17 p11 300 N 
12813.0000 M439 5000000 p11 p3 300 N 
12846.0000 M440 5000000 p16 p14 300 N 
12873.0000 M441 5000000 p2 p11 300 N 
12907.0000 M442 5000000 p14 p13 300 N 
12936.0000 M443 5000000 p16 p8 300 N 
12966.0000 M444 5000000 p18 p13 300 N 
12996.0000 M445 5000000 p12 p5 300 N 
13027.0000 M446 5000000 p3 p0 300 N 
13055.0000 M447 5000000 p5 p17 300 N 
13087.0000 M448 5000000 p7 p6 300 N 
13112.0000 M449 5000000 p5 p17 300 N 
13137.0000 M450 5000000 p8 p11 300 N 
13171.0000 M451 5000000 p10 p16 300 N 
13199.0000 M452 5000000 p11 p13 300 N 
13225.0000 M453 5000000 p16 p12 300 N 
13254.0000 M454 5000000 p14 p4 300 N 
13279.0000 M455 5000000 p1 p15 300 N 
13311.0000 M456 5000000 p9 p17 300 N 
13341.0000 M457 5000000 p16 p8 300 N 
13373.0000 M458 5000000 p9 p4 300 N 
13402.0000 M459 5000000 p8 p3 300 N 
13428.0000 M460 5000000 p18 p2 300 N 
13459.0000 M461 5000000 p1 p13 300 N 
13484.0000 M462 5000000 p9 p1 300 N 
13509.0000 M463 5000000 p18 p6 300 N 
13536.0000 M464 5000000 p2 p11 300 N 
13570.0000 M465 5000000 p4 p6 300 N 
13595.0000 M466 5000000 p0 p8 300 N 
13626.0000 M467 5000000 p4 p6 300 N 
13655.0000 M468 5000000 p17 p6 300 N 
13684.0000 M469 5000000 p8 p6 300 N 
13714.0000 M470 5000000 p4 p17 300 N 
13740.0000 M471 5000000 p5 p8 300 N 
13774.0000 M472 5000000 p10 p2 300 N 
13799.0000 M473 5000000 p6 p5 300 N 
13833.0000 M474 5000000 p10 p18 300 N 
13863.0000 M475 5000000 p3 p5 300 N 
13889.0000 M476 5000000 p7 p0 300 N 
13915.0000 M477 5000000 p17 p15 300 N 
13944.0000 M478 5000000 p14 p7 300 N 
13972.0000 M479 5000000 p1 p17 300 N 
14001.0000 M480 5000000 p3 p11 300 N 
14035.0000 M481 5000000 p0 p16 300 N 
14066.0000 M482 5000000 p16 p8 300 N 
14099.0000 M483 5000000 p12 p5 300 N 
14126.0000 M484 5000000 p16 p15 300 N 
14153.0000 M485 5000000 p10 p4 300 N 
14187.0000 M486 5000000 p15 p8 300 N 
14221.0000 M487 5000000 p8 p17 300 N 
14253.0000 M488 5000000 p12 p3 300 N 
14286.0000 M489 5000000 p3 p1 300 N 
14319.0000 M490 5000000 p0 p17 300 N 
14351.0000 M491 5000000 p15 p9 300 N 
14384.0000 M492 5000000 p12 p8 300 N 
14410.0000 M493 5000000 p9 p13 300 N 
14437.0000 M494 5000000 p14 p11 300 N 
14467.0000 M495 5000000 p13 p6 300 N 
14492.0000 M496 5000000 p18 p6 300 N 
