# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
7319.0000 M189 2000000 1 1763.0000 p33 p38 270 N p33->p38
7328.1000 M195 2000000 1 1607.1000 p32 p27 273 N p32->p27
7350.1000 M249 2000000 3 12.1000 p39 p29 299 N p39->p48->p8->p29
7405.8000 M232 2000000 2 569.8000 p47 p29 290 N p47->p20->p29
7447.0000 M245 2000000 2 218.0000 p26 p10 296 N p26->p48->p10
7477.3000 M223 2000000 1 912.3000 p15 p35 284 N p15->p35
7518.3000 M222 2000000 2 987.3000 p2 p18 283 N p2->p15->p18
7562.1000 M253 2000000 1 98.1000 p13 p30 298 N p13->p30
7678.0000 M241 2000000 2 565.0000 p15 p12 290 N p15->p41->p12
7702.0000 M254 2000000 1 204.0000 p0 p42 296 N p0->p42
7748.5000 M256 2000000 2 195.5000 p32 p37 296 N p32->p33->p37
7749.0000 M204 2000000 1 1767.0000 p14 p3 270 N p14->p3
7760.9000 M244 2000000 1 564.9000 p0 p36 290 N p0->p36
7777.0000 M263 2000000 1 4.0000 p11 p36 299 N p11->p36
7791.8000 M228 2000000 2 1078.8000 p16 p37 282 N p16->p17->p37
7846.1000 M258 2000000 2 228.1000 p13 p35 296 N p13->p39->p35
7883.6000 M250 2000000 1 514.6000 p46 p17 291 N p46->p17
7923.3000 M257 2000000 2 336.3000 p41 p24 294 N p41->p45->p24
7945.4000 M240 2000000 1 863.4000 p37 p26 285 N p37->p26
7969.8000 M262 2000000 2 228.8000 p34 p39 296 N p34->p14->p39
8011.0000 M271 2000000 1 4.0000 p24 p16 299 N p24->p16
8041.0000 M251 2000000 1 639.0000 p4 p40 289 N p4->p40
8073.6000 M264 2000000 2 271.6000 p15 p17 295 N p15->p18->p17
8103.1000 M274 2000000 2 12.1000 p40 p27 299 N p40->p18->p27
8106.5000 M270 2000000 1 125.5000 p43 p6 297 N p43->p6
8278.4000 M272 2000000 1 244.4000 p6 p44 295 N p6->p44
8279.2000 M252 2000000 1 845.2000 p4 p26 285 N p4->p26
8283.4000 M265 2000000 1 449.4000 p18 p14 292 N p18->p14
8333.0000 M278 2000000 3 131.0000 p10 p22 297 N p10->p26->p38->p22
8346.6000 M259 2000000 2 695.6000 p7 p10 288 N p7->p21->p10
8386.0000 M284 2000000 1 4.0000 p26 p4 299 N p26->p4
8451.5000 M276 2000000 1 305.5000 p9 p26 294 N p9->p26
8452.0000 M277 2000000 2 275.0000 p32 p31 295 N p32->p39->p31
8475.5000 M239 2000000 2 1418.5000 p28 p41 276 N p28->p25->p41
8487.1000 M235 2000000 2 1555.1000 p45 p18 274 N p45->p21->p18
8498.5000 M287 2000000 3 27.5000 p9 p8 299 N p9->p13->p12->p8
8519.9000 M273 2000000 1 455.9000 p10 p20 292 N p10->p20
8551.5000 M237 2000000 1 1557.5000 p32 p31 274 N p32->p31
8595.0000 M179 2000000 1 3329.0000 p12 p20 244 N p12->p20
8817.0000 M298 2000000 1 4.0000 p32 p34 299 N p32->p34
8852.5000 M293 2000000 1 193.5000 p2 p34 296 N p2->p34
8861.3000 M280 2000000 1 599.3000 p15 p45 290 N p15->p45
8869.6000 M290 2000000 2 301.6000 p37 p34 294 N p37->p47->p34
8875.0000 M300 2000000 3 12.0000 p23 p34 299 N p23->p15->p6->p34
8905.6000 M266 2000000 1 1040.6000 p32 p20 282 N p32->p20
8913.1000 M301 2000000 3 22.1000 p0 p45 299 N p0->p13->p6->p45
8937.7000 M295 2000000 1 216.7000 p47 p3 296 N p47->p3
8958.5000 M291 2000000 1 356.5000 p31 p40 294 N p31->p40
8991.6000 M286 2000000 2 546.6000 p0 p1 290 N p0->p20->p1
9003.7000 M296 2000000 3 253.7000 p30 p9 295 N p30->p33->p35->p9
9046.3000 M158 2000000 1 4406.3000 p10 p45 226 N p10->p45
9065.0000 M307 2000000 1 4.0000 p27 p1 299 N p27->p1
9111.0000 M193 2000000 1 3443.0000 p20 p9 242 N p20->p9
9119.8000 M261 2000000 1 1408.8000 p12 p29 276 N p12->p29
9131.0000 M288 2000000 1 627.0000 p1 p36 289 N p1->p36
9150.6000 M297 2000000 1 370.6000 p28 p36 293 N p28->p36
9151.8000 M289 2000000 1 616.8000 p45 p16 289 N p45->p16
9170.5000 M196 2000000 1 3415.5000 p27 p2 243 N p27->p2
